polygon_id,polygon_area_km2,grid_name,grid_cell_area_km2,ratio,calculated_scale_factor,mean_at_scale_factor,mean_at_original_resolution,difference,pct_difference
190804040106,151.56145718721794,12km,144.0,1.05251011935568,15,13.509505591011772,6.099999904632568,7.4095056863792035,121.46730823310583
190804040401,117.59745550140708,12km,144.0,0.8166489965375492,16,6.3178262606911035,3.9000000953674316,2.417826165323672,61.995541184618375
190901040503,57.38005179178396,12km,144.0,0.39847258188738865,16,9.61282016069461,6.199999809265137,3.412820351429474,55.04549123258736
190902010107,121.13737570722941,12km,144.0,0.8412317757446487,16,8.017154635744614,5.199999809265137,2.8171548264794772,54.17605634254047
190901040705,108.54770706935948,12km,144.0,0.7538035213149964,16,10.207075451904872,6.900000095367432,3.3070753565374407,47.92862769317593
190902010201,146.87597506048013,12km,144.0,1.019972049031112,15,9.388537504927443,6.5,2.8885375049274433,44.43903853734528
190804041201,120.9947697620597,12km,144.0,0.8402414566809702,16,5.859663927254557,4.099999904632568,1.7596640226219886,42.91863569639974
190803110502,151.92224787901642,12km,144.0,1.0550156102709474,15,7.486100395673951,5.400000095367432,2.0861003003065193,38.63148636045672
190803090305,144.36226631455662,12km,144.0,1.002515738295532,15,17.4915664550291,12.800000190734863,4.691566264294238,36.65286089362855
190804040805,118.26730300877894,12km,144.0,0.8213007153387426,16,19.24173875477003,14.300000190734863,4.941738564035166,34.55761187497729
190803110503,133.26223963474115,12km,144.0,0.9254322196857024,16,13.13408224413011,9.899999618530273,3.234082625599836,32.667502527439076
190804041105,145.12686902749996,12km,144.0,1.0078254793576387,15,15.054618341376983,11.5,3.554618341376983,30.90972470762594
190804020408,173.23370646862531,12km,144.0,1.2030118504765648,15,10.587838182578215,8.100000381469727,2.4878378011084887,30.71404548078646
190804040502,133.2905748704765,12km,144.0,0.9256289921560867,16,13.813846591802744,10.600000381469727,3.213846210333017,30.319302779943918
190901040109,147.2703732137082,12km,144.0,1.022710925095196,15,11.880876347363232,9.199999809265137,2.6808765380980955,29.13996297476265
190901040407,143.33473711632666,12km,144.0,0.9953801188633796,16,7.3255319307881885,5.800000190734863,1.5255317400533253,26.302270515271132
190804040605,88.43316563027876,12km,144.0,0.6141192057658248,16,13.051162320514058,10.399999618530273,2.6511627019837842,25.49194999257554
190804040508,102.3067874745153,12km,144.0,0.7104638019063563,16,18.990147740970105,15.199999809265137,3.7901479317049684,24.93518407411222
1908040412,240.90716167462978,12km,144.0,1.6729664005182623,15,8.52078251150826,6.8500001430511475,1.6707823684571128,24.39098297175959
190804041702,121.83243161669346,12km,144.0,0.8460585528937046,16,13.0523015425295,10.5,2.5523015425295004,24.307633738376193
190804040204,145.66010888434943,12km,144.0,1.0115285339190931,15,13.660323787797317,11.0,2.660323787797317,24.184761707248338
190804040808,164.28056975259872,12km,144.0,1.1408372899486023,15,19.967616023542195,16.100000381469727,3.8676156420724688,24.022456834994212
190804040607,126.74621153788917,12km,144.0,0.8801820245686748,16,12.874589787154902,10.399999618530273,2.474590168624628,23.79413710953902
190804032303,131.22226427840872,12km,144.0,0.9112657241556161,16,25.142231283909773,20.399999618530273,4.742231665379499,23.246234088513944
190803110601,52.55999121843443,12km,144.0,0.3649999390169058,16,14.317647055083631,11.800000190734863,2.5176468643487677,21.33599003096268
1908040415,576.8319332081089,12km,144.0,4.005777313945201,14,12.551326405218315,10.366666793823242,2.184659611395073,21.07388666815023
190804040301,77.30864421083555,12km,144.0,0.5368655847974692,16,15.630920736413254,13.0,2.6309207364132536,20.23785181856349
190804040506,133.70910568064352,12km,144.0,0.92853545611558,16,15.669847517523147,13.100000381469727,2.5698471360534203,19.617153139083356
190902010602,104.74890179004704,12km,144.0,0.7274229290975489,16,14.790196451486326,12.600000381469727,2.190196070016599,17.38250796593328
190901040107,134.62365027037484,12km,144.0,0.9348864602109364,16,7.552851615296571,6.5,1.0528516152965706,16.19771715840878
190803090402,147.7576218204491,12km,144.0,1.026094595975341,15,17.283398895866785,14.899999618530273,2.383399277336512,15.995968713800604
190803111602,156.0621102843158,12km,144.0,1.083764654752193,15,16.82359572921353,14.600000381469727,2.223595347743803,15.230104723599755
190901040409,142.9193890805442,12km,144.0,0.9924957575037792,16,8.524910904758766,7.400000095367432,1.1249108093913343,15.201497228298063
190803090307,135.10722368963783,12km,144.0,0.9382446089558183,16,14.167041399952177,12.300000190734863,1.867041209217314,15.179196587522718
190804040305,47.2451143176503,12km,144.0,0.3280910716503493,16,16.177419806039463,14.100000381469727,2.0774194245697366,14.73347069763125
190804041003,164.42342072934937,12km,144.0,1.1418293106204818,15,14.974205138405305,13.100000381469727,1.874204756935578,14.306906124878338
190804031801,47.25632703262157,12km,144.0,0.32816893772653866,16,19.036170391326255,16.700000762939453,2.336169628386802,13.989039051849725
190803090103,128.00682105464585,12km,144.0,0.8889362573239296,16,9.477290582846836,8.399999618530273,1.0772909643165622,12.824893014757697
190901040201,130.2000970451347,12km,144.0,0.9041673405912132,16,7.330468729138374,6.5,0.8304687291383743,12.776441986744219
190804041311,102.25841854446138,12km,144.0,0.7101279065587596,16,20.47777719543752,18.299999237060547,2.1777779583769714,11.900426498196833
190804041202,116.8567368401029,12km,144.0,0.811505116945159,16,10.7013276678271,9.600000381469727,1.1013272863573729,11.472158777026669
190804032502,115.09983657225979,12km,144.0,0.799304420640693,16,16.954425085962345,15.300000190734863,1.654424895227482,10.813234474528588
190804041804,114.65911641663493,12km,144.0,0.7962438640044093,16,21.493804914761434,19.399999618530273,2.09380529623116,10.79281101753849
